Id,Soil_Types
1,29
2,29
3,12
4,30
5,29
6,29
7,29
8,29
9,29
10,29
11,18
12,30
13,30
14,18
15,18
16,16
17,29
18,18
19,18
20,18
21,18
22,30
23,30
24,18
25,18
26,18
27,18
28,29
29,12
30,30
31,30
32,18
33,18
34,18
35,18
36,29
37,30
38,18
39,30
40,30
41,20
42,29
43,18
44,16
45,12
46,18
47,18
48,18
49,18
50,18
51,30
52,29
53,30
54,18
55,18
56,16
57,18
58,18
59,18
60,18
61,18
62,29
63,12
64,18
65,18
66,18
67,18
68,29
69,12
70,29
71,30
72,29
73,29
74,16
75,29
76,30
77,30
78,16
79,12
80,30
81,20
82,12
83,29
84,12
85,18
86,29
87,29
88,12
89,12
90,29
91,18
92,29
93,30
94,29
95,29
96,12
97,29
98,12
99,16
100,18
101,29
102,29
103,29
104,29
105,18
106,18
107,20
108,29
109,29
110,16
111,29
112,16
113,12
114,12
115,18
116,29
117,29
118,29
119,18
120,29
121,12
122,29
123,29
124,29
125,29
126,16
127,12
128,12
129,29
130,12
131,24
132,29
133,24
134,24
135,16
136,29
137,24
138,29
139,29
140,18
141,29
142,24
143,12
144,24
145,20
146,12
147,24
148,29
149,20
150,18
151,29
152,24
153,12
154,12
155,29
156,29
157,29
158,12
159,18
160,18
161,29
162,29
163,29
164,29
165,29
166,29
167,29
168,24
169,23
170,29
171,30
172,29
173,29
174,29
175,29
176,20
177,29
178,24
179,20
180,29
181,29
182,12
183,29
184,30
185,29
186,29
187,29
188,29
189,18
190,29
191,29
192,30
193,12
194,29
195,12
196,18
197,29
198,29
199,12
200,12
201,24
202,29
203,29
204,29
205,29
206,20
207,20
208,29
209,30
210,12
211,29
212,29
213,24
214,24
215,24
216,40
217,16
218,23
219,29
220,29
221,29
222,29
223,16
224,29
225,12
226,12
227,29
228,29
229,12
230,30
231,29
232,23
233,29
234,12
235,12
236,29
237,23
238,23
239,29
240,29
241,24
242,29
243,40
244,12
245,29
246,29
247,29
248,29
249,12
250,12
251,20
252,19
253,23
254,29
255,30
256,29
257,12
258,23
259,29
260,29
261,23
262,20
263,29
264,19
265,29
266,29
267,29
268,30
269,12
270,29
271,29
272,20
273,20
274,12
275,12
276,23
277,30
278,30
279,30
280,29
281,29
282,12
283,20
284,29
285,29
286,23
287,20
288,29
289,20
290,12
291,12
292,12
293,29
294,20
295,12
296,30
297,23
298,12
299,29
300,23
301,29
302,29
303,12
304,30
305,29
306,12
307,30
308,29
309,29
310,30
311,12
312,23
313,30
314,30
315,12
316,12
317,30
318,29
319,16
320,23
321,20
322,19
323,23
324,29
325,16
326,29
327,16
328,20
329,23
330,29
331,29
332,29
333,12
334,29
335,12
336,29
337,29
338,12
339,29
340,29
341,29
342,12
343,12
344,12
345,29
346,30
347,29
348,29
349,12
350,12
351,40
352,29
353,12
354,29
355,29
356,12
357,12
358,12
359,12
360,29
361,12
362,12
363,29
364,30
365,12
366,12
367,30
368,20
369,20
370,30
371,29
372,23
373,29
374,29
375,29
376,29
377,12
378,29
379,29
380,29
381,30
382,29
383,29
384,12
385,30
386,30
387,30
388,30
389,29
390,30
391,30
392,30
393,30
394,30
395,30
396,30
397,30
398,30
399,29
400,29
401,12
402,23
403,23
404,12
405,30
406,30
407,20
408,29
409,29
410,29
411,29
412,30
413,30
414,30
415,20
416,20
417,12
418,23
419,30
420,30
421,30
422,29
423,29
424,12
425,30
426,30
427,30
428,30
429,30
